Time,Event,Value
421.634,AccDirty,67
421.634,AccPause,918
421.639,AccDirty,67
421.639,AccPause,922
421.644,AccDirty,67
421.644,AccPause,926
421.649,AccDirty,67
421.649,AccPause,930
421.654,AccDirty,67
421.655,AccPause,934
421.659,AccDirty,67
421.660,AccPause,938
421.664,AccDirty,67
421.665,AccPause,942
421.669,AccDirty,67
421.670,AccPause,946
421.674,AccDirty,67
421.675,AccPause,950
421.679,AccDirty,67
421.680,AccPause,954
421.685,AccDirty,67
421.685,AccPause,958
421.690,AccDirty,67
421.690,AccPause,962
421.695,AccDirty,67
421.695,AccPause,966
421.700,AccDirty,67
421.700,AccPause,970
421.705,AccDirty,67
421.705,AccPause,974
421.710,AccDirty,67
421.710,AccPause,978
421.715,AccDirty,67
421.715,AccPause,982
421.720,AccDirty,67
421.720,AccPause,986
421.725,AccDirty,67
421.725,AccPause,990
421.730,AccDirty,67
421.730,AccPause,994
421.735,AccDirty,67
421.735,AccPause,998
421.740,AccDirty,67
421.740,AccPause,1002
421.745,AccDirty,67
421.745,AccPause,1006
421.750,AccDirty,67
421.750,AccPause,1010
421.755,AccDirty,67
421.755,AccPause,1014
421.760,AccDirty,67
421.760,AccPause,1018
421.765,AccDirty,67
421.765,AccPause,1022
421.770,AccDirty,67
421.770,AccPause,1026
421.775,AccDirty,67
421.775,AccPause,1030
421.780,AccDirty,67
421.780,AccPause,1034
421.785,AccDirty,67
421.785,AccPause,1038
421.790,AccDirty,67
421.790,AccPause,1042
421.795,AccDirty,67
421.795,AccPause,1046
421.800,AccDirty,67
421.800,AccPause,1050
421.805,AccDirty,67
421.805,AccPause,1054
421.810,AccDirty,67
421.810,AccPause,1058
421.815,AccDirty,67
421.815,AccPause,1062
421.820,AccDirty,67
421.820,AccPause,1066
421.825,AccDirty,67
421.825,AccPause,1070
421.830,AccDirty,67
421.830,AccPause,1074
421.835,AccDirty,67
421.835,AccPause,1078
421.840,AccDirty,67
421.840,AccPause,1082
421.845,AccDirty,67
421.845,AccPause,1086
421.850,AccDirty,67
421.850,AccPause,1090
421.855,AccDirty,67
421.855,AccPause,1094
421.860,AccDirty,67
421.860,AccPause,1098
421.865,AccDirty,67
421.865,AccPause,1102
421.870,AccDirty,67
421.870,AccPause,1106
421.875,AccDirty,67
421.875,AccPause,1110
421.880,AccDirty,67
421.880,AccPause,1114
421.885,AccDirty,67
421.885,AccPause,1118
421.890,AccDirty,67
421.890,AccPause,1122
421.895,AccDirty,67
421.895,AccPause,1126
421.900,AccDirty,67
421.900,AccPause,1130
421.905,AccDirty,67
421.905,AccPause,1134
421.910,AccDirty,67
421.910,AccPause,1138
421.915,AccDirty,67
421.915,AccPause,1142
421.920,AccDirty,67
421.920,AccPause,1146
421.925,AccDirty,67
421.925,AccPause,1150
421.930,AccDirty,67
421.930,AccPause,1154
421.935,AccDirty,67
421.935,AccPause,1158
421.940,AccDirty,67
421.940,AccPause,1162
421.945,AccDirty,67
421.945,AccPause,1166
421.950,AccDirty,67
421.950,AccPause,1170
421.955,AccDirty,67
421.955,AccPause,1174
421.960,AccDirty,67
421.960,AccPause,1178
421.965,AccDirty,67
421.965,AccPause,1182
421.970,AccDirty,67
421.970,AccPause,1186
421.975,AccDirty,67
421.975,AccPause,1190
421.980,AccDirty,67
421.980,AccPause,1194
421.985,AccDirty,67
421.985,AccPause,1198
421.990,AccDirty,67
421.990,AccPause,1202
421.995,AccDirty,67
421.995,AccPause,1206
422.000,AccDirty,67
422.000,AccPause,1210
422.005,AccDirty,67
422.005,AccPause,1214
422.010,AccDirty,67
422.010,AccPause,1218
422.015,AccDirty,67
422.015,AccPause,1222
422.020,AccDirty,67
422.020,AccPause,1226
422.025,AccDirty,67
422.025,AccPause,1230
422.030,AccDirty,67
422.030,AccPause,1234
422.035,AccDirty,67
422.035,AccPause,1238
422.040,AccDirty,67
422.040,AccPause,1242
422.045,AccDirty,67
422.045,AccPause,1246
422.050,AccDirty,67
422.050,AccPause,1250
422.055,AccDirty,67
422.055,AccPause,1254
422.060,AccDirty,67
422.060,AccPause,1258
422.065,AccDirty,67
422.065,AccPause,1262
422.070,AccDirty,67
422.070,AccPause,1266
422.075,AccDirty,67
422.075,AccPause,1270
422.080,AccDirty,67
422.080,AccPause,1274
422.085,AccDirty,67
422.085,AccPause,1278
422.090,AccDirty,67
422.090,AccPause,1282
422.095,AccDirty,67
422.095,AccPause,1286
422.100,AccDirty,67
422.101,AccPause,1290
422.105,AccDirty,67
422.107,AccPause,1294
422.112,AccDirty,67
422.112,AccPause,1298
422.117,AccDirty,67
422.117,AccPause,1302
422.122,AccDirty,67
422.124,AccPause,1306
422.129,AccDirty,67
422.129,AccPause,1310
422.134,AccDirty,67
422.134,AccPause,1314
422.139,AccDirty,67
422.139,AccPause,1318
422.144,AccDirty,67
422.144,AccPause,1322
422.149,AccDirty,67
422.149,AccPause,1326
422.154,AccDirty,67
422.154,AccPause,1330
422.158,AccDirty,67
422.159,AccPause,1334
422.163,AccDirty,67
422.164,AccPause,1338
422.168,AccDirty,67
422.169,AccPause,1342
422.173,AccDirty,67
422.174,AccPause,1346
422.179,AccDirty,67
422.179,AccPause,1350
422.184,AccDirty,67
422.184,AccPause,1354
422.189,AccDirty,67
422.189,AccPause,1358
422.194,AccDirty,67
422.194,AccPause,1362
422.199,AccDirty,67
422.199,AccPause,1366
422.204,AccDirty,67
422.204,AccPause,1370
422.209,AccDirty,67
422.209,AccPause,1374
422.214,AccDirty,67
